Date,Ticker,Type,Quantity,Price per share,Total Amount,Currency,FX Rate
2020-09-09T13:56:07.841641Z,TSLA,BUY - MARKET,0.4,USD 359.85,USD 145.12,USD,1.1822
2020-09-11T07:35:49.011692Z,MSFT,DIVIDEND,,,USD 0.79,USD,1.1846
2020-09-17T16:59:56.360545Z,,CASH TOP-UP,,,USD 100,USD,1.1824
2020-09-17T17:00:20.844173Z,LMND,BUY - MARKET,2,USD 50.68,USD 102.54,USD,1.1824
2020-09-18T19:25:34.566807Z,IGMS,SELL - MARKET,2,USD 88.43,USD 175.67,USD,1.1849
2020-09-21T13:43:38.251063Z,TSLA,SELL - MARKET,1.4,USD 448.68,USD 626.96,USD,1.1763
2020-09-21T14:02:00.281194Z,MSFT,BUY - MARKET,0.99982319,USD 197.87,USD 199.01,USD,1.1757
2020-09-23T18:51:51.056995Z,SPCE,BUY - MARKET,7,USD 15.68,USD 110.92,USD,1.1670
2020-09-25T05:38:24.747168Z,NVDA,DIVIDEND,,,USD 0.08,USD,1.1674
2020-09-25T18:16:16.222874Z,,CASH TOP-UP,,,USD 20,USD,1.1630
2020-09-25T18:16:52.699183Z,NVDA,BUY - MARKET,1,USD 511.57,USD 511.57,USD,1.1631
2020-09-30T05:27:26.895651Z,GILD,DIVIDEND,,,USD 2.45,USD,1.1738
2020-09-30T23:34:56.330483Z,,CUSTODY FEE,,,USD -0.03,USD,1.1731
2020-10-06T16:27:05.272467Z,FSLY,SELL - MARKET,2,USD 102.59,USD 205.17,USD,1.1782
2020-10-06T18:49:14.638872Z,MSFT,BUY - MARKET,1,USD 208.92,USD 208.92,USD,1.1790
2020-10-13T13:51:45.538521Z,SPCE,SELL - MARKET,59,USD 20.31,USD 1197.08,USD,1.1756
2020-10-16T14:20:24.397936Z,NKLAQ,BUY - MARKET,10,USD 20.54,USD 206.57,USD,1.1734
2020-10-16T17:01:11.039193Z,SPCE,BUY - MARKET,21,USD 23.16,USD 487.53,USD,1.1722
2020-10-19T13:42:37.270589Z,NKLAQ,SELL - MARKET,10,USD 21.34,USD 212.22,USD,1.1784
2020-10-20T13:46:03.257034Z,GILD,BUY - MARKET,4.77,USD 60.31,USD 288.86,USD,1.1820
